Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat,38,38,22000,20948.036271054756,3820.7804999983637,31315.94820000464,623.6578947368421,0.6446795394628178,0.6446795394628178,23000,25000,26000,28000,29000,31000,31000,31000,31000,31000,31000
GET,/health,5,5,21000,22158.40610000014,15215.704099988216,28887.518000003183,136.0,0.08482625519247601,0.08482625519247601,21000,27000,27000,29000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,43,43,22000,21088.776948839102,3820.7804999983637,31315.94820000464,566.953488372093,0.7295057946552937,0.7295057946552937,22000,25000,27000,28000,29000,31000,31000,31000,31000,31000,31000
